Name,Trial #,Gray Level (0-255),Reaction (ms)
Josh 1,1,128,426
Josh 1,2,96,256
Josh 1,3,64,298
Josh 1,4,160,341
Josh 1,5,64,346
Josh 1,6,224,290
Josh 1,7,96,426
Josh 1,8,32,329
Josh 1,9,64,362
Josh 1,10,32,379
Josh 1,11,255,294
Josh 1,12,128,264
Josh 1,13,128,488
Josh 1,14,128,313
Josh 1,15,224,273
Josh 1,16,224,401
Josh 1,17,96,398
Josh 1,18,160,278
Josh 1,19,64,639
Josh 1,20,32,357
Josh 1,21,160,342
Josh 1,22,255,352
Josh 1,23,224,387
Josh 1,24,96,395
Josh 1,25,128,221
Josh 1,26,192,375
Josh 1,27,32,538
Josh 1,28,192,317
Josh 1,29,224,330
Josh 1,30,32,378
Josh 1,31,192,296
Josh 1,32,64,339
Josh 1,33,192,266
Josh 1,34,160,299
Josh 1,35,96,463
Josh 1,36,255,307
Josh 1,37,255,288
Josh 1,38,160,297
Josh 1,39,192,265
Josh 1,40,255,315
Josh 2,1,64,295
Josh 2,2,128,283
Josh 2,3,224,616
Josh 2,4,96,377
Josh 2,5,255,405
Josh 2,6,160,565
Josh 2,7,160,291
Josh 2,8,255,274
Josh 2,9,64,292
Josh 2,10,160,265
Josh 2,11,32,325
Josh 2,12,96,245
Josh 2,13,160,233
Josh 2,14,128,316
Josh 2,15,224,261
Josh 2,16,192,368
Josh 2,17,160,237
Josh 2,18,224,239
Josh 2,19,32,385
Josh 2,20,255,213
Josh 2,21,96,272
Josh 2,22,192,337
Josh 2,23,32,398
Josh 2,24,64,476
Josh 2,25,96,275
Josh 2,26,192,249
Josh 2,27,96,363
Josh 2,28,128,363
Josh 2,29,128,254
Josh 2,30,224,257
Josh 2,31,32,289
Josh 2,32,255,303
Josh 2,33,224,251
Josh 2,34,255,278
Josh 2,35,192,291
Josh 2,36,128,238
Josh 2,37,192,360
Josh 2,38,64,398
Josh 2,39,32,588
Josh 2,40,64,329
Josh 3,1,224,265
Josh 3,2,160,254
Josh 3,3,160,256
Josh 3,4,64,277
Josh 3,5,128,285
Josh 3,6,192,378
Josh 3,7,96,266
Josh 3,8,96,252
Josh 3,9,64,241
Josh 3,10,224,273
Josh 3,11,160,261
Josh 3,12,224,240
Josh 3,13,64,431
Josh 3,14,192,254
Josh 3,15,160,317
Josh 3,16,128,309
Josh 3,17,255,434
Josh 3,18,128,277
Josh 3,19,255,271
Josh 3,20,192,262
Josh 3,21,192,239
Josh 3,22,192,230
Josh 3,23,255,297
Josh 3,24,32,324
Josh 3,25,224,300
Josh 3,26,32,370
Josh 3,27,32,292
Josh 3,28,128,337
Josh 3,29,64,247
Josh 3,30,96,274
Josh 3,31,224,261
Josh 3,32,160,317
Josh 3,33,96,244
Josh 3,34,255,261
Josh 3,35,96,281
Josh 3,36,64,350
Josh 3,37,128,274
Josh 3,38,32,331
Josh 3,39,255,259
Josh 3,40,32,394
Josh 4,1,32,225
Josh 4,2,96,208
Josh 4,3,255,231
Josh 4,4,32,362
Josh 4,5,160,191
Josh 4,6,64,213
Josh 4,7,255,237
Josh 4,8,128,252
Josh 4,9,224,208
Josh 4,10,96,219
Josh 4,11,224,214
Josh 4,12,64,241
Josh 4,13,64,202
Josh 4,14,32,302
Josh 4,15,32,252
Josh 4,16,160,210
Josh 4,17,192,226
Josh 4,18,128,252
Josh 4,19,192,206
Josh 4,20,255,227
Josh 4,21,160,211
Josh 4,22,64,267
Josh 4,23,192,218
Josh 4,24,64,212
Josh 4,25,224,216
Josh 4,26,128,204
Josh 4,27,128,236
Josh 4,28,192,193
Josh 4,29,255,250
Josh 4,30,96,270
Josh 4,31,96,239
Josh 4,32,128,240
Josh 4,33,160,232
Josh 4,34,224,236
Josh 4,35,255,217
Josh 4,36,224,200
